date,red,orange,yellow,green,blue,total
12/16/2022,6,4,2,5,3,20
12/19/2022,6,3,4,4,3,20
12/20/2022,9,4,2,4,3,22
12/21/2022,2,2,6,5,5,20
12/22/2022,7,2,3,8,1,21
12/22/2022,7,1,4,4,6,22
01/02/2023,10,4,4,1,3,22
01/17/2023,5,2,7,1,4,19
01/17/2023,7,5,4,2,2,20
01/18/2023,8,1,4,3,4,20
01/21/2023,8,4,4,2,3,21
01/23/2023,7,4,4,1,2,18
01/24/2023,7,5,0,5,3,20
01/25/2023,6,3,3,5,3,20
01/31/2023,8,4,3,1,5,21
02/11/2023,6,2,4,7,1,20
02/13/2023,8,0,5,2,5,20
02/15/2023,8,5,4,2,3,22
02/17/2023,9,2,5,3,7,26
02/22/2023,8,2,5,2,5,22
03/07/2023,7,4,3,1,7,22
03/08/2023,7,4,3,6,2,22
03/15/2023,8,0,3,4,6,21
03/21/2023,9,1,4,2,7,23
03/31/2023,7,2,4,4,4,21
04/12/2023,8,4,1,5,2,20
04/14/2023,7,6,2,4,3,22
04/21/2023,4,7,4,3,4,22
04/25/2023,5,4,4,3,5,21
04/25/2023,8,5,5,2,2,22
05/01/2023,10,3,3,4,1,21
05/01/2023,11,1,1,5,3,21
05/02/2023,8,2,3,5,3,21
05/04/2023,11,4,1,4,1,21
05/05/2023,8,3,2,5,2,20
05/08/2023,8,4,4,2,3,21
05/09/2023,6,5,3,3,4,21
05/24/2023,7,6,3,5,2,23
05/24/2023,4,4,2,8,7,25
05/25/2023,7,5,3,6,3,24
05/26/2023,9,1,7,2,3,22
05/30/2023,6,6,3,5,2,22
05/30/2023,10,6,5,1,1,23
05/31/2023,9,4,6,2,1,22
05/31/2023,7,4,4,3,6,24
09/05/2023,8,1,1,5,7,22
09/05/2023,9,4,3,2,3,21
09/07/2023,6,6,1,3,6,22
09/07/2023,8,3,4,4,2,21
09/08/2023,4,4,3,2,8,21
09/15/2023,9,3,2,6,0,20
09/20/2023,6,4,4,2,5,21
10/03/2023,6,8,4,2,1,21
10/03/2023,8,4,2,3,3,20
10/25/2023,3,4,3,5,6,21
10/31/2023,12,4,1,3,1,21
10/31/2023,5,6,2,3,5,21
11/10/2023,7,5,3,5,0,20
01/04/2024,6,6,3,4,4,23
01/04/2024,11,3,3,3,1,21
